Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,NumberOfFrequencies,AttendedClasses,NumberOfReferences,Dropout,EnrolledTime,DaysSinceLastVisit,LazinessIndex
0,4990.0,47,233.6,0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,19,0,1,239,1553,0.8564867967853043
1,1600.0,13,73.9,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0,1,217,337,0.8236331569664903
1,5690.0,102,160.4,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,241,702,1.0
0,3780.0,34,61.6,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,55,295,0.9743523980507822
0,1810.0,14,186.3,0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0,0,1,305,471,0.9179924553058881
0,3270.0,51,218.6,0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,20,0,1,232,1557,0.799081515499426
0,1300.0,13,82.6,0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0,0,1,189,1106,0.8001998001998002
0,0.0,33,257.8,0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,18,0,1,776,1219,0.8277841561423651
1,0.0,5,716.1,0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0,0,0,754,5,0.7703788748564868
0,0.0,6,1213.3,0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,92,0,0,1191,6,0.7703788748564868
0,1670.0,53,61.6,0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0,0,1,95,1297,0.9015909463670657
0,1310.0,81,86.1,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,1,95,724,1.0
1,5080.0,1,692.2,0,0.0,0.0,0.0,0.0,0.0,1.0,291.0,0,0,0,1025,1,0.220471106592103
1,0.0,5,714.2,0,1.0,0.0,1.0,0.0,1.0,0.0,40.0,37,0,0,761,5,0.7129735935706085
1,6490.0,0,216.5,0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0,0,1,298,1210,0.9333222203700617
0,1450.0,69,118.6,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0,1,92,1065,1.0
0,2540.0,61,65.4,0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0,1,88,541,0.9835984910611776
0,1590.0,121,289.6,0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0,0,1,343,905,1.0
0,2580.0,3,310.6,0,0.0,1.0,0.0,0.0,0.0,1.0,78.0,6,0,1,283,1177,0.5975855130784709
1,2110.0,91,374.6,0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0,0,1,392,884,1.0
0,1300.0,88,499.1,0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,49,0,1,656,881,0.8851894374282434
0,1660.0,38,68.0,0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,1,103,1434,0.9343939642447106
0,2020.0,49,217.7,0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0,0,1,712,842,0.9835984910611776
0,1690.0,16,48.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0,0,29,16,0.9309868875086267
0,1970.0,47,41.6,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,55,1135,0.9433855444423476
0,2730.0,2,96.2,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,0,48,2,0.7292794668887963
1,6080.0,122,198.2,0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0,0,1,375,1630,0.7929606625258799
0,0.0,61,251.1,0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,29,0,1,299,1248,0.9425947187141217
0,1890.0,0,71.7,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0,0,0,48,0,0.5835068721366098
0,2800.0,53,111.4,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0,0,1,106,533,0.9671969821223553
1,1610.0,43,301.2,0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0,0,1,780,735,0.9671969821223553
1,4010.0,161,61.6,0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0,0,1,194,1667,1.0
0,3570.0,5,110.1,0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,1,53,1372,0.6734693877551021
1,0.0,337,454.42,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11,0,1,493,355,1.0
0,2960.0,11,101.5,0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0,0,1,112,153,0.7689641894493646
1,1800.0,103,114.85,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0,0,1,205,1609,0.7239475500345065
0,0.0,6,513.6,0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,59,0,0,462,6,0.34497816593886466
1,0.0,6,114.35,0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6,0,0,52,6,0.5289367429340511
0,2370.0,83,171.2,0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,12,0,1,328,1589,0.8851894374282434
1,0.0,10,243.4,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,13,0,1,251,271,0.8158379373848987
1,2690.0,39,45.1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,221,212,0.9743523980507822
0,5700.0,43,468.4,0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,37,0,1,368,94,0.8306997742663657
0,1520.0,91,165.2,0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,1,539,884,0.9333999333999334
1,2800.0,40,188.6,0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19,0,1,165,885,0.7129735935706085
